id,name,artists,duration_ms,year,spotify_popularity,popularity_source
3Fi7isVPleZ4BKaTLLiEPO,Crazy,['Nine Days'],254862,2000,68,proxy
6vjkHnvOYzHJ9OMLQkcCMS,Revolve,['Nine Days'],234336,2000,73,proxy
3Eex7G38MQ2PmJN3YzWOnN,Intro,['Cypress Hill'],111827,2000,72,proxy
11NhpUlmopyd23LGn8tOeb,Another Victory,['Cypress Hill'],191160,2000,84,proxy
7ivM5ILtz3k5Z6sRjXu0v2,(Rap) Superstar,['Cypress Hill'],293560,2000,75,proxy
0YEevVJhbrpMnxU8Z1e5DO,Cuban Necktie,['Cypress Hill'],253267,2000,76,proxy
7ePYmW1gXyDXrFLZiyRUTP,What U Want From Me,['Cypress Hill'],229533,2000,76,proxy
31n4cN86SByaFMCvPzSzpU,Highlife,['Cypress Hill'],232067,2000,75,proxy
7klRZ0QDVosbIT6palqjQQ,Certified Bomb,['Cypress Hill'],241533,2000,79,proxy
5scbAop3tPC7T4h6mKbA8k,Can I Get A Hit,['Cypress Hill'],167533,2000,72,proxy
3iFdNR2uQd378MQeSB0qzi,We Live This Shit,['Cypress Hill'],258533,2000,80,proxy
3yRJ2bU8ZmfvYeM4O1Qdyw,Worldwide,['Cypress Hill'],165333,2000,83,proxy
1ozO08Hly2aYWZhuqoMVVP,Valley Of Chrome,['Cypress Hill'],242427,2000,73,proxy
53o4NWr7YqeD9jiZ1Da4sx,Get Out Of My Head,['Cypress Hill'],210000,2000,74,proxy
4cmfwCjNRd7kOGlyM36pMw,Can't Get the Best of Me,['Cypress Hill'],254907,2000,78,proxy
2cHG6zgHiszbpUqu77NpwL,A Man,['Cypress Hill'],188667,2000,77,proxy
3q5hzpCpUM33iWi1wAmNTI,Dust,['Cypress Hill'],234360,2000,80,proxy
5hYr8yRbQLFE20oS7Mi3T2,(Rock) Superstar,['Cypress Hill'],276867,2000,76,proxy
7cz3A3binwDM9GwL1OrnTB,Interstate,['Eleventh Dream Day'],193267,2000,70,proxy
06xTG5ArvEvHqSeSYf5LpY,Way Too Early On a Sunday Morning,['Eleventh Dream Day'],302773,2000,71,proxy
4wqEIhh9T5QEN40SbuVYPY,Persuasion,['Patti Smith'],273187,2000,77,proxy
7aSAiYqhwZzGTlqfJCtTEe,Gone Pie,['Patti Smith'],244093,2000,77,proxy
3XGLnUh9XzH1KiAobnpzsv,Glitter In Their Eyes,['Patti Smith'],183293,2000,78,proxy
0it5CoPuAnvmgxqPpCIpUs,New Party,['Patti Smith'],270333,2000,76,proxy
3SPNVZvfdJBzvAqzx6szsv,Goodbye Forever,['Alkaline Trio'],170360,2000,72,proxy
4sZbECciemgfspP6qtdT5v,This Is Getting Over You,['Alkaline Trio'],287373,2000,69,proxy
2FJluE21dn5XXEi8c42DoL,Bleeder,['Alkaline Trio'],270840,2000,70,proxy
1Y0eag0jxFo5vygMb1ZzrZ,I Lied My Face Off,['Alkaline Trio'],249573,2000,68,proxy
27jbQySldKEX1W17293Mto,My Friend Peter,['Alkaline Trio'],134880,2000,73,proxy
3gkMT9tSCU5ZtnlPidBLgn,Snake Oil Tanker,['Alkaline Trio'],82173,2000,68,proxy
2AVwI3UQc1BNOQb6JQReHg,Southern Rock,['Alkaline Trio'],184467,2000,71,proxy
2YShOZzT4mybDtquvCX6GT,Cooking Wine,['Alkaline Trio'],138947,2000,69,proxy
71EMzSregWb9ZX7p9VTJoj,For Your Lungs Only,['Alkaline Trio'],146587,2000,73,proxy
469qIugZhQBKBMNUiAUy4B,Prophet of Doom,['Yngwie Malmsteen'],331267,2000,72,proxy
0uNVEkxTQvYKmOOt60zDnc,Black Sheep of the Family,['Yngwie Malmsteen'],136160,2000,70,proxy
4zjuLLD2WL24YI5ReyFGQ5,Horns Of Destruction,"[""2 Skinnee J's""]",233360,2000,77,proxy
5F4Ra9PLfMSnO5WaIIzr17,3 Minutes,"[""2 Skinnee J's""]",272000,2000,74,proxy
0ApMpkMnbkd3rMCbwo26cB,Grown Up,"[""2 Skinnee J's""]",237507,2000,75,proxy
5kPM9z4pgpIdhDMqwdkHtO,Girl With The World In Her Eyes,"[""2 Skinnee J's""]",253227,2000,68,proxy
2IIvDT188r7ji42Xavv6lM,Brew Ha Ha!,"[""2 Skinnee J's""]",220973,2000,68,proxy
7sBYrYx9xBsmqsEBqQAwIl,Pass The Buck,"[""2 Skinnee J's""]",152600,2000,75,proxy
0m60YHSt6H9f2mATrSDyxe,Lemon Drop,"[""2 Skinnee J's""]",185773,2000,70,proxy
6ebuq0jAlq6h1FQ2rPAacD,Loud Neighbor,"[""2 Skinnee J's""]",234373,2000,73,proxy
5nJfikurZixV5a1TD5c7aH,Finalmente,['King Chango'],273973,2000,78,proxy
0FaoDYGFiuGuCQWHsIrIM1,El Santo,['King Chango'],241987,2000,80,proxy
1yEcWhhCtKlmknFfjLRkRY,Brujeria,['King Chango'],311147,2000,72,proxy
53QM8XkFwnVLegztUYn6eH,Tuveria,['King Chango'],388840,2000,74,proxy
4QVZglR0clmctOcWxAPDdE,What Politicians Say,['King Chango'],195813,2000,76,proxy
33GUgWfsW8XyQ4CQQjxtGj,I Don't Care,['King Chango'],243413,2000,84,proxy
1mmaywWRQzNE5dt0eUISBd,Sin Ti,['King Chango'],287013,2000,68,proxy
2gie5iJPTGHAkgFDsqUA4d,Best Dressed Pimp,['King Chango'],241813,2000,70,proxy
0CzIKxY53M66OTBNCQeT2J,Lil Sister,['King Chango'],313413,2000,73,proxy
6zr0Jhb7Z8fJtO6otgeHnN,Full Time Business,['King Chango'],171880,2000,79,proxy
7veapY6mktaRGLqMHYDRci,Champion Sound,['King Chango'],377547,2000,71,proxy
2xO6lMxa1cm91GEbTswfm2,Hard Core,['Dee Snider'],246813,2000,71,proxy
0gaxaJnjBiuULvRJYUWDXp,Call My Name,['Dee Snider'],179320,2000,70,proxy
7nNJjmrzfCFXbO3DJtygpA,Our Voice Will Be Heard,['Dee Snider'],179493,2000,71,proxy
76VGmH2SgTjwwLW5nYDdx3,Isn't It Time,['Dee Snider'],273440,2000,69,proxy
1VHwtL6gl9sa11ah70HB5X,The Wanderer,['Dee Snider'],296360,2000,68,proxy
0G5O6sPrHxno30IXruxSIH,Uh Huh Huh,['Dee Snider'],233253,2000,71,proxy
0eMmJYs809KbKGxcyFMKNT,Desperado,['Dee Snider'],235960,2000,71,proxy
3WwcRFJeQGGmnsJ7IEBu9Y,Sometimes You Win,['Dee Snider'],237853,2000,75,proxy
7nXvygGjqrv55aMSv9aZ3z,Indian Outlaw,['Tim McGraw'],182120,2000,73,proxy
0EPVdtuad5NLRqUCD9fCOU,She Never Lets It Go To Her Heart,['Tim McGraw'],186267,2000,75,proxy
6pTIGM3tOJjuvS2jnG01eH,"I Like It, I Love It",['Tim McGraw'],205707,2000,84,proxy
24GhMbHI0j21HUgOU7LlZR,Just To See You Smile,['Tim McGraw'],215173,2000,69,proxy
6SnpDUZ3NzJ1N1buNl8HB0,Where The Green Grass Grows,['Tim McGraw'],201600,2000,68,proxy
4an9sVG0w3Pzve6kF7TJsI,For A Little While,['Tim McGraw'],213893,2000,69,proxy
29BclaZuC6axJm8Ydw1eMN,Something Like That,['Tim McGraw'],183733,2000,75,proxy
3eNmNRCws1hdAozQr7pSsp,Maybe We Should Just Sleep On It,['Tim McGraw'],236973,2000,75,proxy
2wuEbNxBhmj9tpcqzp4Qmd,Down On The Farm,['Tim McGraw'],178867,2000,78,proxy
6nFrsNOZD6H9f3vhCxVIuc,My Next Thirty Years,['Tim McGraw'],217733,2000,68,proxy
0M9MxwsJXeWipHmS6n7xaV,Lincoln Town,['John Hiatt'],243566,2000,75,proxy
2AGaWYpfq0dloUhEDr7fF3,Lift up Every Stone,['John Hiatt'],195135,2000,75,proxy
60x8tlMcIFB1KCHxkihBG2,Gone,['John Hiatt'],177136,2000,70,proxy
40qplD3lGhvOTE9AAKMUC6,Take It Back,['John Hiatt'],184660,2000,74,proxy
5khSmhIbp2xzS342nxtoKQ,Before I Go,['John Hiatt'],214988,2000,70,proxy
2DvlGO6YnPP4rEKRMfvt3Y,Into the New,['Vallejo'],267373,2000,81,proxy
2TCirUs9PFf4UmjpU8wTkz,Over You,['Vallejo'],191213,2000,80,proxy
32g0HWp0CCHzirhZIFh0yB,Someway,['Vallejo'],237773,2000,81,proxy
61DAmDvQqQ45nzBkGtPRB0,I Go On,['Vallejo'],227413,2000,78,proxy
21xwugdDeJdHK51WVblj8l,La Familia,['Vallejo'],216800,2000,80,proxy
06IGRL8dowxqhhoJvlyplk,Modern Day Slave,['Vallejo'],266120,2000,83,proxy
6VlXgBTVSL4LaFdyci5EcJ,The Beginning,['Vallejo'],231493,2000,79,proxy
70918aCYWHSb0fZSF8hFr8,Classico,['Vallejo'],201453,2000,78,proxy
5GWbyXwXZb7qPOFMMRtiU1,Back In The Day,['Vallejo'],204653,2000,78,proxy
4pngWVEyzsV9LKGRmIAqTV,Dia De Muerto,['Vallejo'],273973,2000,70,proxy
2rZYVYWTpFlpDMOVQdr00c,Let It Slide,['Vallejo'],252187,2000,73,proxy
3gy32ISisPdvjS45r9aDv1,Patelle,['Richard Devine'],412440,2000,68,proxy
5ryBtRb7y4nq4HmUGqfuFN,Swap Trigger,['Richard Devine'],406720,2000,73,proxy
12YMKiDhe4oWheKjlVOmgB,Kepter,['Richard Devine'],375773,2000,79,proxy
6dHUICNAxy8Pt03RqEFjH9,Block Variation,['Richard Devine'],336227,2000,69,proxy
22C4cc807ceeFGrsrRqdfr,Scatter Fold 28,['Richard Devine'],264960,2000,68,proxy
4DSAxhyfL8uZYTbRNsSHMU,Spit,['Kittie'],142867,2000,72,proxy
5aC8oD7sCinWSLO1xFJ9H8,Do You Think I'm a Whore?,['Kittie'],184027,2000,79,proxy
6lqwRfIHYRiJ7M9xfLqcRx,Brackish,['Kittie'],189707,2000,75,proxy
46OcDkBMVbF3us4kodujh2,Jonny,['Kittie'],146933,2000,76,proxy
4jc1QvIY7PLghwWuu2Ixs7,Raven,['Kittie'],207373,2000,73,proxy
7AEBa0RkzFSebX4HLSBskJ,Madam Me,['Alkaline Trio'],179853,2000,70,proxy
03EV0UHtbLLZxRMk2k638B,You've Got So Far To Go,['Alkaline Trio'],194787,2000,69,proxy
5a9yyZE83UskiAlIsQR7Lz,Fuck You Aurora,['Alkaline Trio'],289707,2000,67,proxy
53S0JdlqoD0YJn1DVZGX4x,Maybe I'll Catch Fire,['Alkaline Trio'],187480,2000,69,proxy
6H2d8jCogLwHCNuXlmFkcM,Tuck Me In,['Alkaline Trio'],159467,2000,73,proxy
3XyZoqPylFaQQvCaPUU7bz,She Took Him To The Lake,['Alkaline Trio'],160707,2000,71,proxy
0GsN5xAR7JHBHNRBFsNB2F,5-3-10-4,['Alkaline Trio'],176067,2000,67,proxy
3meQqxmo4Myxn2KJU3ThmM,Not That Kind,['Anastacia'],200133,2000,80,proxy
2376IJzmJ9UJY5wWLTce2I,I'm Outta Love,['Anastacia'],242773,2000,71,proxy
1hazafTu3qZKWh78S7rXb1,Cowboys & Kisses,['Anastacia'],277440,2000,69,proxy
32E8r086F3RGkTmvzUvYM7,Why'd You Lie to Me,['Anastacia'],222933,2000,82,proxy
2A5j2TGaCHRYivxIGptTdN,Don'tcha Wanna,['Anastacia'],240507,2000,80,proxy
70LbOu6KnYwP6dNFPqeQwt,Made For Lovin' You,['Anastacia'],214960,2000,71,proxy
6hz90xauNytESR8FexT3Ve,Black Roses,['Anastacia'],217067,2000,68,proxy
1EsqRR1ayGZwwPGvZlKTXo,Yo Trippin',['Anastacia'],214693,2000,78,proxy
1k3IrY96uqtRZBnO5rZ6sY,Same Old Story,['Anastacia'],332200,2000,74,proxy
6X1RhylmiSpKAPMORhtII2,Tiny Explosions,['The Presidents Of The United States Of America'],168667,2000,75,proxy
78o8W48FLboPhZzZ059Xlt,Nuthin but Love,['The Presidents Of The United States Of America'],161333,2000,76,proxy
3JE5zcOMJ28sDaIfnBTs70,Last Girl on Earth,['The Presidents Of The United States Of America'],140467,2000,77,proxy
5hn2YlBWYPC7jTSsgINixx,Jazz Guy,['The Presidents Of The United States Of America'],132600,2000,74,proxy
24obGxQaI9mRyH6WCmaLeJ,Meanwhile Back in the City,['The Presidents Of The United States Of America'],203333,2000,73,proxy
0GSTTf6apYSTcRdtoP4l1M,Jupiter,['The Presidents Of The United States Of America'],157400,2000,77,proxy
1Z4g7zchUnL2dm8snu2rOb,Superstar,['The Presidents Of The United States Of America'],188000,2000,73,proxy
3LjjvTZvoYcTQVtb4NHUD4,Blank Baby,['The Presidents Of The United States Of America'],228600,2000,80,proxy
0JZStTs39UlOFLcHiyxiVL,Velvet Universe - Bonus Track,['The Presidents Of The United States Of America'],160533,2000,72,proxy
2e48e7vgi2qfuMjIwPChwY,Hand in Hand - Bonus Track,['The Presidents Of The United States Of America'],130680,2000,80,proxy
6NeB6TTo6UWULFVYxDqj1V,Tiny Explosions - (Demo),['The Presidents Of The United States Of America'],193067,2000,80,proxy
7nymPTQkF9KHEuA5XZvIoe,Tiger Bomb - (Demo),['The Presidents Of The United States Of America'],204307,2000,73,proxy
4I2crfGzF5gderZnLs8exY,Last Girl on Earth - (Demo),['The Presidents Of The United States Of America'],183520,2000,78,proxy
4229ooHojMHgODlR9JhHvI,Meanwhile Back in the City - (Demo),['The Presidents Of The United States Of America'],192893,2000,73,proxy
6IYq0pQqR93zlCGJWAKa8f,Blank Baby - (Demo),['The Presidents Of The United States Of America'],202533,2000,77,proxy
4eaB8QmVy1KykQ2Ou6tGbA,Danglin' Feet,['DeVotchKa'],144187,2000,69,proxy
5Ge93IxntgWjTZOMPr2IYc,Head Honcho,['DeVotchKa'],191867,2000,69,proxy
0uRGfjWZ9T3sY0v6e2PBnT,Jaws of the World,['DeVotchKa'],169613,2000,72,proxy
5PrEWBt6mr3nJyJM27JJLe,Life is Short,['DeVotchKa'],208827,2000,68,proxy
6tLam4sZsGdY5jEB6xR9CU,Curse Your Little Heart,['DeVotchKa'],175187,2000,71,proxy
6saQpuNZKYNZNdHHmI8P6X,Politically Correct,['SR-71'],199600,2000,74,proxy
3iwsyTZzOWHZbHffBEyi1N,Right Now,['SR-71'],167200,2000,77,proxy
4cf27xpF4Te7EFoTWuBnl5,What A Mess,['SR-71'],222227,2000,68,proxy
